סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
3400 ,חברון , ,77 ,חברון ,11 ,ירושלים ,0 ,
1347 ,קצר א-סר , ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר
1331 ,כמאנה , ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
3777 ,סנסנה , ,77 ,חברון ,62 ,באר שבע ,78 ,הר חברון
963 ,אעצם (שבט) ,A'SAM ,62 ,באר שבע ,62 ,באר שבע ,0 ,
1220 ,אבירים ,ABBIRIM ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
958 ,אבו עבדון (שבט) ,ABU ABDUN ,62 ,באר שבע ,62 ,באר שבע ,0 ,
1042 ,אבו עמאר (שבט) ,ABU AMMAR ,62 ,באר שבע ,62 ,באר שבע ,0 ,
932 ,אבו עמרה (שבט) ,ABU AMRE ,62 ,באר שבע ,62 ,באר שבע ,0 ,
472 ,אבו גוש ,ABU GHOSH ,11 ,ירושלים ,11 ,ירושלים ,0 ,
967 ,אבו ג'ווייעד (שבט) ,ABU JUWEI'ID ,62 ,באר שבע ,62 ,באר שבע ,0 ,
968 ,אבו קורינאת (שבט) ,ABU QUREINAT ,62 ,באר שבע ,62 ,באר שבע ,0 ,
1342 ,אבו קרינאת (יישוב) ,ABU QUREINAT ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר
966 ,אבו רובייעה (שבט) ,ABU RUBEI'A ,62 ,באר שבע ,62 ,באר שבע ,0 ,
961 ,אבו רוקייק (שבט) ,ABU RUQAYYEQ ,62 ,באר שבע ,62 ,באר שבע ,0 ,
473 ,אבו סנאן ,ABU SINAN ,24 ,עכו ,24 ,עכו ,0 ,
935 ,אבו סריחאן (שבט) ,ABU SUREIHAN ,62 ,באר שבע ,62 ,באר שבע ,0 ,
1375 ,אבו תלול ,ABU TULUL ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר
1068 ,אדמית ,ADAMIT ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
2035 ,עדנים ,ADANIM ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון
1123 ,אדרת ,ADDERET ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
113 ,אדירים ,ADDIRIM ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
3874 ,עדי עד ,ADE AD ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
1199 ,עדי ,ADI ,24 ,עכו ,24 ,עכו ,9 ,עמק יזרעאל
3759 ,אדורה ,ADORA ,77 ,חברון ,13 ,בית שמש ,78 ,הר חברון
3987 ,אדוריים ,ADORAYIM ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון
959 ,אפיניש (שבט) ,AFEINISH ,62 ,באר שבע ,62 ,באר שבע ,0 ,
313 ,אפק ,AFEQ ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
4301 ,אפיק ,AFIQ ,29 ,גולן ,22 ,טבריה ,71 ,גולן
176 ,אפיקים ,AFIQIM ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן
7700 ,עפולה ,AFULA ,23 ,עפולה ,23 ,עפולה ,0 ,
794 ,עגור ,AGUR ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
1157 ,אחווה ,AHAWA ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה
797 ,אחיעזר ,AHI'EZER ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן
785 ,אחיהוד ,AHIHUD ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
804 ,אחיסמך ,AHISAMAKH ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין
850 ,אחיטוב ,AHITUV ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
3875 ,אחיה ,AHIYA ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
821 ,אחוזם ,AHUZZAM ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש
1330 ,אחוזת ברק ,AHUZZAT BARAQ ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
7600 ,עכו ,AKKO ,24 ,עכו ,24 ,עכו ,0 ,
1359 ,אל סייד ,AL SAYYID ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום
1316 ,אל-עריאן ,AL-ARYAN ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה
1339 ,אל-עזי ,AL-AZY ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב
3727 ,עלי זהב ,ALE ZAHAV ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון
3750 ,אלפי מנשה ,ALFE MENASHE ,73 ,טול כרם ,349 ,ראש העין ,0 ,
3898 ,אלון ,ALLON ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
